ip;date;method;url;code;length;duration
192.168.1.1;2013/10/03 05:05:27;GET;/site;200;51930;629209
192.168.1.1;2013/10/03 05:06:27;GET;/site;200;51930;1135334
192.168.1.1;2013/10/03 05:07:26;GET;/site;200;51930;987278
192.168.1.1;2013/10/03 05:08:26;GET;/site;200;51930;730058
192.168.1.1;2013/10/03 05:09:26;GET;/site;200;51930;691542
192.168.1.1;2013/10/03 05:10:26;GET;/site;200;51930;674920
192.168.1.1;2013/10/03 05:11:26;GET;/site;200;51930;671995
192.168.1.1;2013/10/03 05:12:27;GET;/site;200;51930;731786
192.168.1.1;2013/10/03 05:13:26;GET;/site;200;51930;672068
192.168.1.1;2013/10/03 05:14:26;GET;/site;200;51930;687313
192.168.1.1;2013/10/03 05:15:26;GET;/site;200;51930;707934
192.168.1.1;2013/10/03 05:16:26;GET;/site;200;51930;661678
192.168.1.1;2013/10/03 05:17:26;GET;/site;200;51930;584081
192.168.1.1;2013/10/03 05:18:26;GET;/site;200;51930;1414278
192.168.1.1;2013/10/03 05:19:26;GET;/site;200;51930;2911887
192.168.1.1;2013/10/03 05:19:53;GET;/site;200;11020;7511051
192.168.1.1;2013/10/03 05:20:26;GET;/site;200;51930;2864451
192.168.1.1;2013/10/03 05:21:12;GET;/site;200;11020;2363825
192.168.1.1;2013/10/03 05:21:27;GET;/site;200;51930;723912
192.168.1.1;2013/10/03 05:22:26;GET;/site;200;51930;683639
192.168.1.1;2013/10/03 05:23:26;GET;/site;200;51930;1584139
192.168.1.1;2013/10/03 05:24:13;GET;/site;200;11453;2078072
192.168.1.1;2013/10/03 05:24:26;GET;/site;200;51930;678425
192.168.1.1;2013/10/03 05:25:27;GET;/site;200;51930;694814
192.168.1.1;2013/10/03 05:25:36;GET;/site;200;10965;1954505
192.168.1.1;2013/10/03 05:26:27;GET;/site;200;51930;673565
192.168.1.1;2013/10/03 05:27:27;GET;/site;200;51930;647887
192.168.1.1;2013/10/03 05:28:27;GET;/site;200;51930;646966
192.168.1.1;2013/10/03 05:29:26;GET;/site;200;51930;621603
192.168.1.1;2013/10/03 05:30:26;GET;/site;200;51930;649288
192.168.1.1;2013/10/03 05:31:26;GET;/site;200;51930;700207
192.168.1.1;2013/10/03 05:32:16;GET;/site;200;11001;2002371
192.168.1.1;2013/10/03 05:32:20;GET;/site;200;11001;1205228
192.168.1.1;2013/10/03 05:32:26;GET;/site;200;51930;843861
192.168.1.1;2013/10/03 05:33:26;GET;/site;200;51930;717281
192.168.1.1;2013/10/03 05:34:26;GET;/site;200;51930;676888
192.168.1.1;2013/10/03 05:34:41;GET;/site;200;10967;1331542
192.168.1.1;2013/10/03 05:34:46;GET;/site;200;10969;1228535
192.168.1.1;2013/10/03 05:35:27;GET;/site;200;51930;663539
192.168.1.1;2013/10/03 05:36:27;GET;/site;200;51930;642373
192.168.1.1;2013/10/03 05:37:32;GET;/site;200;10965;2159847
192.168.1.1;2013/10/03 05:38:26;GET;/site;200;51930;882990
192.168.1.1;2013/10/03 05:39:27;GET;/site;200;51930;1668628
192.168.1.1;2013/10/03 05:40:27;GET;/site;200;51930;3964388
192.168.1.1;2013/10/03 05:41:26;GET;/site;200;51930;1466386
192.168.1.1;2013/10/03 05:42:26;GET;/site;200;51930;2389468
192.168.1.1;2013/10/03 05:43:26;GET;/site;200;51930;2987426
192.168.1.1;2013/10/03 05:44:27;GET;/site;200;51930;2183920
192.168.1.1;2013/10/03 05:45:27;GET;/site;200;51930;3069063
192.168.1.1;2013/10/03 05:46:26;GET;/site;200;51930;2356194
192.168.1.1;2013/10/03 05:47:26;GET;/site;200;51930;912877
192.168.1.1;2013/10/03 05:48:26;GET;/site;200;51930;690658
192.168.1.1;2013/10/03 05:49:27;GET;/site;200;51930;696354
192.168.1.1;2013/10/03 05:50:27;GET;/site;200;51930;622024
192.168.1.1;2013/10/03 05:51:26;GET;/site;200;51930;675025
192.168.1.1;2013/10/03 05:52:14;GET;/site;200;11453;5648193
192.168.1.1;2013/10/03 05:52:26;GET;/site;200;51930;2298019
192.168.1.1;2013/10/03 05:53:26;GET;/site;200;51930;604376
192.168.1.1;2013/10/03 05:54:27;GET;/site;200;51930;628363
192.168.1.1;2013/10/03 05:55:27;GET;/site;200;51930;644960
192.168.1.1;2013/10/03 05:56:26;GET;/site;200;51930;590377
192.168.1.1;2013/10/03 05:56:48;GET;/site;200;11001;2116192
192.168.1.1;2013/10/03 05:57:12;GET;/site;200;10965;1463203
192.168.1.1;2013/10/03 05:57:26;GET;/site;200;51930;618950
192.168.1.1;2013/10/03 05:58:26;GET;/site;200;51930;706495
192.168.1.1;2013/10/03 05:59:27;GET;/site;200;51930;632099
192.168.1.1;2013/10/03 06:00:26;GET;/site;200;51930;607948
192.168.1.1;2013/10/03 06:01:26;GET;/site;200;51930;750113
192.168.1.1;2013/10/03 06:02:26;GET;/site;200;51930;768859
192.168.1.1;2013/10/03 06:03:27;GET;/site;200;51930;865584
192.168.1.1;2013/10/03 06:04:19;GET;/site;200;11030;2288549
192.168.1.1;2013/10/03 06:04:27;GET;/site;200;51930;1061773
192.168.1.1;2013/10/03 06:05:26;GET;/site;200;51930;828181
192.168.1.1;2013/10/03 06:06:26;GET;/site;200;51930;942546
192.168.1.1;2013/10/03 06:07:26;GET;/site;200;51930;1728710
192.168.1.1;2013/10/03 06:08:27;GET;/site;200;51930;2392694
192.168.1.1;2013/10/03 06:09:27;GET;/site;200;51930;745680
192.168.1.1;2013/10/03 06:10:26;GET;/site;200;51930;1802357
192.168.1.1;2013/10/03 06:12:27;GET;/site;200;51930;2272775
192.168.1.1;2013/10/03 06:13:27;GET;/site;200;51930;946127
192.168.1.1;2013/10/03 06:14:26;GET;/site;200;51930;2268537
192.168.1.1;2013/10/03 06:15:26;GET;/site;200;51930;2785140
192.168.1.1;2013/10/03 06:15:30;GET;/site;200;11569;5206298
192.168.1.1;2013/10/03 06:16:26;GET;/site;200;51930;877747
192.168.1.1;2013/10/03 06:17:27;GET;/site;200;51930;2157354
192.168.1.1;2013/10/03 06:18:27;GET;/site;200;51930;3189801
192.168.1.1;2013/10/03 06:19:27;GET;/site;200;51930;1287539
192.168.1.1;2013/10/03 06:19:41;GET;/site;200;11577;6932247
192.168.1.1;2013/10/03 06:20:26;GET;/site;200;51930;1192712
192.168.1.1;2013/10/03 06:21:26;GET;/site;200;51930;765632
192.168.1.1;2013/10/03 06:22:27;GET;/site;200;51930;1384112
192.168.1.1;2013/10/03 06:23:27;GET;/site;200;51930;895111
192.168.1.1;2013/10/03 06:24:26;GET;/site;200;51930;752748
192.168.1.1;2013/10/03 06:25:26;GET;/site;200;51930;1111015
192.168.1.1;2013/10/03 06:26:26;GET;/site;200;51930;1159080
192.168.1.1;2013/10/03 06:27:12;GET;/site;200;11571;2338523
